id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
632508172008775539,Luxe Appartement (incl pp) nabij haven en strand,84692323,Marco,Wijk 07 Scheveningen,Vissershaven,52.0946,4.2664,Entire home/apt,225,5,5,2023-10-06,0.16,1,89,0,0518 41F3 5F8B 60DE 42BE
635195263557411163,Apartment with sunny garden near beach and harbour,25649719,Gilbert,Wijk 09 Geuzen- en Statenkwartier,Geuzenkwartier,52.08855,4.26932,Entire home/apt,161,3,9,2024-06-08,0.29,1,17,3,0518 7D43 CF16 040F 47E8
636183158348281603,The Harbor home,461240930,Rodrigo,Wijk 38 Laakkwartier en Spoorwijk,Laakhaven-West,52.05664,4.31146,Entire home/apt,,5,26,2024-06-01,0.84,1,0,1,0518 45B2 C29C 773E 47D0
636854013158408098,Kranenburg Beach House - 200m van het strand!,461373203,Michael,Wijk 07 Scheveningen,Vissershaven,52.094994,4.261623,Entire home/apt,400,5,3,2023-08-17,0.10,1,125,0,0518 1378 9572 D68D 4509
637550883001174552,"Spacious sunny city house, very central :)",5144582,Dorien,Wijk 23 Willemspark,Willemspark,52.08718,4.30907,Entire home/apt,,3,12,2024-08-24,0.40,1,0,2,0518E20B54A4DEBF49D2
639481134744266570,Family beach-house,6841128,Lijster,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10568,4.27576,Entire home/apt,,2,7,2024-06-15,0.93,1,0,7,0518 DBF4 D9FC 0090 412D
641097573837740724,Luxury home in quiet neighbourhood near beach,398842799,Bruno,Wijk 13 Vogelwijk,Vogelwijk,52.075738,4.2406762,Entire home/apt,273,5,7,2024-07-15,0.23,2,124,2,0518 67D4 6096 1727 46BF
642695419037099035,Beautiful 5 bed house in the heart of The Hague,17730372,Alexa,Wijk 28 Centrum,Voorhout,52.083927,4.3094915,Entire home/apt,575,5,10,2024-08-14,0.42,1,189,5,0518 0258 C6C0 3FCE 4C14
642729956369142346,Mooi ruim appartement in Den Haag dichtbij strand,923242,Les,Wijk 18 Waldeck,Rosenburg,52.06569,4.24783,Entire home/apt,220,14,0,,,1,322,0,0518 879B 1536 AB65 42DB
643244982481419491,"Sfeervol appartement bij strand Zuid, Scheveningen",12068818,Jitske,Wijk 08 Duindorp,Duindorp,52.08811,4.25274,Entire home/apt,,1,5,2022-09-02,0.17,1,0,0,0518 3633 A4A2 51E0 77A2
644646347914812476,Lovely 1-bedroom apartment with large patio,8666835,Emma,Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier,52.08198,4.28946,Entire home/apt,,7,10,2024-06-01,0.37,1,0,6,0518 3891 EC20 835B 4A7A
644962370344468379,Spacious room in a pleasant hood,10241619,Yannick,Wijk 12 Bomen- en Bloemenbuurt,Bomenbuurt,52.07753,4.26957,Private room,55,2,19,2024-11-27,3.22,1,151,19,0518 F56A C61D 1721 48D8
645698261439302557,Cozy family house near the beach,8024313,Magdot,Wijk 14 Bohemen en Meer en Bos,Bosjes van Pex,52.06827,4.24727,Entire home/apt,,5,11,2024-08-17,0.42,1,0,6,0518 D822 A5C0 557D C6CB
647799761652935409,"Lovely family house close to beach, with parking",463896401,Anouk,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10968,4.28049,Entire home/apt,183,7,3,2023-08-13,0.13,1,33,0,0518607BE38BB21B629E
650466122793343008,Zonnig heerlijk familiehuis & dakterras bij strand,57420099,Dagmar,Wijk 07 Scheveningen,Scheveningen Badplaats,52.1093383,4.2799024,Entire home/apt,,5,14,2024-08-24,0.47,1,0,5,051870BAC1CB5AA44A13
652868538526275313,Arty ground floor apartment with sunny garden,16819780,Suzanne,Wijk 31 Rustenburg en Oostbroek,Oostbroek-Noord,52.06872,4.27961,Entire home/apt,,4,11,2024-05-31,0.37,1,0,3,0518 5E47 6B84 7C2D 4D32
654330561638149300,Spacious family house nearby the city and the sea,465405072,Antoinette,Wijk 26 Bezuidenhout,Bezuidenhout-Oost,52.08866279999999,4.336795299999999,Entire home/apt,325,10,0,,,1,32,0,0518883640F6461B4F5E
654792210637258594,"Hosted by Wendy, spacious house and lovely garden",177701530,Hosted By Wendy,Wijk 10 Zorgvliet,Zorgvliet,52.08624,4.28247,Entire home/apt,395,5,5,2024-08-06,0.17,14,7,2,0518 D50E D34A E2B5 47B5
655371492283902124,Stylish 3-bdrm apt. w/ terraces next to the beach,6099061,Boris,Wijk 09 Geuzen- en Statenkwartier,Statenkwartier,52.09157,4.27233,Entire home/apt,507,3,37,2024-11-03,1.23,1,336,9,0518 7D2D 18CD 8CB4 490D
655571918068288367,Design Family house - sunny garden - close 2 beach,14647609,Nadine Cristianne,Wijk 04 Benoordenhout,Waalsdorp,52.096940934637956,4.315740846305078,Entire home/apt,,5,1,2022-10-30,0.04,1,0,0,0518 ABC1 C04C 40FE 4835
